stop_id,stop_name,stop_lat,stop_lon
126,parada126,-7.212519073425565,-34.841440819368991
127,parada127,-7.216684495692048,-34.846125120220201
128,parada128,-7.218195726830929,-34.846089567907633
129,parada129,-7.216789186767628,-34.846245494256692
130,parada130,-7.212419217076031,-34.850233866548500
131,parada131,-7.206642328755208,-34.853951385764113
132,parada132,-7.204178875477331,-34.853880894618143
133,parada133,-7.199881675433074,-34.853813134054967
134,parada134,-7.198298213587709,-34.906003378937967
135,parada135,-7.199844906362527,-34.903619072139463
136,parada136,-7.201523606405932,-34.903668161333819
137,parada137,-7.201435280392278,-34.900849535128479
138,parada138,-7.202454440227302,-34.897131846682178
139,parada139,-7.203139306359530,-34.895093724572540
140,parada140,-7.201529065979812,-34.894348127382678
141,parada141,-7.198573273261774,-34.893312097356912
142,parada142,-7.197177764560265,-34.895264177088229
143,parada143,-7.194988876836958,-34.892298438343268
144,parada144,-7.199880709358581,-34.887195837178460
145,parada145,-7.195967974227623,-34.886847319781673
146,parada146,-7.193773649234085,-34.886468607997053
147,parada147,-7.193786596878266,-34.884457993012958
148,parada148,-7.198504872411323,-34.884888193162567
149,parada149,-7.201189936189214,-34.885146553934497
150,parada150,-7.174224792675949,-34.929561075831487
151,parada151,-7.175702213887852,-34.930411550900999
152,parada152,-7.176377758030124,-34.931992831852753
153,parada153,-7.177003150153336,-34.932601973323017
154,parada154,-7.179016670221499,-34.932921449445438
155,parada155,-7.182427827820157,-34.934156091715259
156,parada156,-7.200203608817345,-34.853669097499314
157,parada157,-7.204659905695408,-34.853766135062934
158,parada158,-7.206587223732893,-34.853872445511684
159,parada159,-7.207346726185111,-34.852262660252109
160,parada160,-7.208055296849757,-34.850588053880188
161,parada161,-7.209980374554376,-34.850542470949151
162,parada162,-7.211608302202301,-34.850510362483327
163,parada163,-7.218119876482763,-34.846208519823513
164,parada164,-7.216366826571797,-34.844398494273712
165,parada165,-7.213854036777915,-34.840213261709678
166,parada166,-7.215196835805342,-34.839304404816453
167,parada167,-7.215144219022928,-34.839242809754303
168,parada168,-7.216620339829597,-34.837919908567002
169,parada169,-7.219087217650581,-34.834422421208878
170,parada170,-7.223602570313016,-34.823609542554522
171,parada171,-7.224824625926867,-34.817120440475684
172,parada172,-7.229646244674684,-34.809372410921817
173,parada173,-7.232025109946886,-34.808379490846050
